<<<<<<< HEAD
,imdb_id,cast
0,114709,"TomHanks,TimAllen,DonRickles"
0,113497,"RobinWilliams,JonathanHyde,KirstenDunst"
0,113228,"WalterMatthau,JackLemmon,SophiaLoren"
0,114885,"WhitneyHouston,AngelaBassett,LorettaDevine"
0,113041,"SteveMartin,DianeKeaton,MartinShort"
0,113277,"AlPacino,RobertDeNiro,ValKilmer"
0,114319,"HarrisonFord,JuliaOrmond,GregKinnear"
0,112302,"JonathanTaylorThomas,BradRenfro,EricSchweig"
0,114576,"Jean-ClaudeVanDamme,PowersBoothe,RaymondJ.Barry"
0,113189,"PierceBrosnan,SeanBean,IzabellaScorupco"
0,112346,"MichaelDouglas,AnnetteBening,MartinSheen"
0,112896,"LeslieNielsen,PeterMacNicol,StevenWeber"
0,112453,"KevinBacon,BobHoskins,BridgetFonda"
0,113987,"AnthonyHopkins,JoanAllen,PowersBoothe"
0,112760,"GeenaDavis,MatthewModine,FrankLangella"
0,112641,"RobertDeNiro,SharonStone,JoePesci"
0,114388,"JamesFleet,TomWilkinson,HarrietWalter"
0,113101,"SammiDavis,AmandaDeCadenet,ValeriaGolino"
0,112281,"JimCarrey,IanMcNeice,SimonCallow"
0,113845,"WesleySnipes,WoodyHarrelson,JenniferLopez"
0,113161,"JohnTravolta,GeneHackman,ReneRusso"
0,112722,"SigourneyWeaver,HollyHunter,DermotMulroney"
0,112401,"SylvesterStallone,AntonioBanderas,JulianneMoore"
0,114168,"MarySteenburgen,SeanPatrickFlanery,LanceHenriksen"
0,113627,"NicolasCage,ElisabethShue,JulianSands"
0,114057,"LaurenceFishburne,IrèneJacob,KennethBranagh"
0,114011,"ChristinaRicci,RosieO'Donnell,ThoraBirch"
0,114117,"AmandaRoot,CiaránHinds,SusanFleetwood"
0,112682,"RonPerlman,DanielEmilfork,JudithVittet"
0,115012,"GongLi,BaotianLi,XiaoxiaoWang"
0,112792,"MichellePfeiffer,GeorgeDzundza,CourtneyB.Vance"
0,114746,"JosephMelito,BruceWillis,JonSeda"
0,112431,"ChristineCavanaugh,MiriamMargolyes,DannyMann"
0,112818,"SusanSarandon,SeanPenn,RobertProsky"
0,113442,"KirstieAlley,SteveGuttenberg,Mary-KateOlsen"
0,112697,"AliciaSilverstone,StaceyDash,BrittanyMurphy"
0,112749,"JamesEarlJones,RichardHarris,VusiKunene"
0,114279,"ChristopherBowen,EdwardJewesbury,IanMcKellen"
0,112819,"LarenzTate,KeithDavid,ChrisTucker"
0,114272,"RobertDowneyJr.,SamNeill,DavidThewlis"
0,113855,"ChristopherLambert,RobinShou,LindenAshby"
0,114681,"NicoleKidman,MattDillon,JoaquinPhoenix"
0,113347,"KaelynnCraddick,SaraCraddick,KateCapshaw"
0,114369,"MorganFreeman,AndrewKevinWalker,DanielZacapa"
0,114148,"JoeBaker,ChristianBale,IreneBedard"
0,114916,"PascaleBussières,RachaelCrawford,HenryCzerny"
0,114814,"StephenBaldwin,GabrielByrne,BenicioDelToro"
0,113819,"PamelaBlair,ReneCeballos,ElieChaib"
0,110299,"EnricoLoVerso,MichelePlacido,PiroMilkani"
0,112499,"SteveGuttenberg,Oliviad'Abo,JayO.Sanders"
0,113158,"JenniferJasonLeigh,MareWinningham,TedLevine"
0,113321,"HollyHunter,RobertDowneyJr.,AnneBancroft"
0,110877,"PhilippeNoiret,MassimoTroisi,MariaGraziaCucinotta"
0,113419,"HalScardino,Litefoot,LindsayCrouse"
0,116260,"SallyField,EdHarris,OliviaBurnette"
0,113862,"RichardDreyfuss,GlenneHeadly,JayThomas"
0,116126,"ShawnWayans,MarlonWayans,TraceyCherelleJones"
0,118002,"DenisLeary,SandraBullock,StephenDillane"
0,115683,"WilliamAtherton,DeniseDowse,DaraTomanovich"
0,116839,"PatrickBergin,MattFrewer,AustinO'Brien"
0,113149,"VictoriaAbril,JosianeBalasko,AlainChabat"
0,113118,"IceCube,ChrisTucker,NiaLong"
0,116367,"GeorgeClooney,QuentinTarantino,HarveyKeitel"
0,113010,"WilliamBaldwin,CindyCrawford,StevenBerkoff"
0,113537,"JoshHamilton,SamuelGould,CatherineKellner"
0,113828,"Jean-PaulBelmondo,MichelBoujenah,AlessandraMartines"
0,115644,"ChristianSlater,MaryStuartMasterson,PamelaAdlon"
0,115676,"RickMoranis,TomArnold,JuliannePhillips"
0,114367,"PeterWeller,RoyDupuis,JenniferRubin"
0,113973,"Nico,TinaAumont,ChristianPäffgen"
0,112744,"JackNicholson,DavidMorse,AnjelicaHuston"
0,116731,"DemiMoore,AlecBaldwin,JosephGordon-Levitt"
0,112445,"AidaMohammadkhani,MohsenKafili,FereshtehSadreOrafaiy"
0,114660,"AndyGarcia,ChristopherLloyd,WilliamForsythe"
0,112379,"WillekevanAmmelrooy,ElsDottermans,DoravanderGroen"
0,114039,"AlFreemanJr.,PhyliciaRashad,Leon"
0,112365,"MarkRylance,KristinScottThomas,PatsyKensit"
0,118158,"JeffBridges,CarolineGoodall,JohnSavage"
0,116151,"JasonAlexander,FayeDunaway,EricLloyd"
0,115697,"ChrisFarley,DavidSpade,TimMatheson"
0,113972,"JohnnyDepp,CourtneyChase,CharlesS.Dutton"
0,117002,"JuliaRoberts,JohnMalkovich,GeorgeCole"
0,114825,"EddieMurphy,AngelaBassett,AllenPayne"
0,115639,"MattDillon,NoahEmmerich,AnnabethGish"
